A,B,weight
ENSG00000097021,ENSG00000087008,77.4
ENSG00000097021,ENSG00000073756,63.4
ENSG00000097021,ENSG00000019186,74.0
ENSG00000097021,ENSG00000117054,203.0
ENSG00000097021,ENSG00000104325,147.8
ENSG00000097021,ENSG00000113161,82.8
ENSG00000097021,ENSG00000055609,40.7
ENSG00000097021,ENSG00000077463,75.2
ENSG00000097021,ENSG00000105679,60.8
ENSG00000097021,ENSG00000096006,30.4
ENSG00000097021,ENSG00000160882,60.8
ENSG00000097021,ENSG00000108839,60.8
ENSG00000097021,ENSG00000120915,149.2
ENSG00000097021,ENSG00000008394,78.5
ENSG00000097021,ENSG00000087076,149.4
ENSG00000097021,ENSG00000143815,38.5
ENSG00000097021,ENSG00000164120,77.8
ENSG00000097021,ENSG00000138061,75.6
ENSG00000097021,ENSG00000117448,220.0
ENSG00000097021,ENSG00000166741,31.8
ENSG00000097021,ENSG00000115361,95.4
ENSG00000097021,ENSG00000072210,165.8
ENSG00000097021,ENSG00000119723,102.4
ENSG00000097021,ENSG00000036530,64.8
ENSG00000097021,ENSG00000008311,44.8
ENSG00000097021,ENSG00000158019,54.0
ENSG00000097021,ENSG00000116761,38.6
ENSG00000097021,ENSG00000135094,30.6
ENSG00000097021,ENSG00000171097,38.5
ENSG00000097021,ENSG00000132437,98.5
ENSG00000097021,ENSG00000012660,87.8
ENSG00000097021,ENSG00000104808,96.8
ENSG00000097021,ENSG00000001630,92.6
ENSG00000097021,ENSG00000052802,91.6
ENSG00000097021,ENSG00000171759,95.5
ENSG00000097021,ENSG00000003137,69.2
ENSG00000097021,ENSG00000106397,80.6
ENSG00000097021,ENSG00000136371,54.1
ENSG00000097021,ENSG00000177000,40.2
ENSG00000097021,ENSG00000120437,66.8
ENSG00000097021,ENSG00000131069,83.2
ENSG00000097021,ENSG00000084453,31.5
ENSG00000097021,ENSG00000023041,128.6
ENSG00000097021,ENSG00000111058,109.6
ENSG00000097021,ENSG00000198805,160.2
ENSG00000097021,ENSG00000100354,38.9
ENSG00000097021,ENSG00000093217,41.7
ENSG00000097021,ENSG00000154027,64.8
ENSG00000097021,ENSG00000143774,61.5
ENSG00000097021,ENSG00000103222,32.3
ENSG00000097021,ENSG00000168393,37.9
ENSG00000097021,ENSG00000165996,33.0
ENSG00000097021,ENSG00000004468,30.8
ENSG00000097021,ENSG00000103064,34.4
ENSG00000097021,ENSG00000003989,33.1
ENSG00000097021,ENSG00000198610,60.8
ENSG00000097021,ENSG00000007171,61.8
ENSG00000097021,ENSG00000079215,33.5
ENSG00000097021,ENSG00000157064,63.8
ENSG00000097021,ENSG00000186104,67.8
ENSG00000097021,ENSG00000143753,86.4
ENSG00000097021,ENSG00000172817,80.8
ENSG00000097021,ENSG00000013392,37.9
ENSG00000097021,ENSG00000083444,103.4
ENSG00000097021,ENSG00000103485,70.5
ENSG00000097021,ENSG00000082212,40.9
ENSG00000097021,ENSG00000165102,92.0
ENSG00000097021,ENSG00000011198,39.8
ENSG00000097021,ENSG00000062282,31.4
ENSG00000097021,ENSG00000112972,81.2
ENSG00000097021,ENSG00000149124,121.6
ENSG00000097021,ENSG00000122912,84.8
ENSG00000097021,ENSG00000185818,77.2
ENSG00000097021,ENSG00000005469,82.2
ENSG00000097021,ENSG00000088386,31.0
ENSG00000097021,ENSG00000112299,36.5
ENSG00000097021,ENSG00000078124,79.0
ENSG00000097021,ENSG00000152904,56.8
ENSG00000097021,ENSG00000090013,43.4
ENSG00000097021,ENSG00000132837,80.6
ENSG00000097021,ENSG00000138449,39.5
ENSG00000097021,ENSG00000100577,37.2
ENSG00000097021,ENSG00000100170,31.4
ENSG00000097021,ENSG00000108602,60.8
ENSG00000097021,ENSG00000112699,36.2
ENSG00000097021,ENSG00000100253,167.1
ENSG00000097021,ENSG00000119899,84.6
ENSG00000097021,ENSG00000072042,135.0
ENSG00000097021,ENSG00000180011,48.4
ENSG00000097021,ENSG00000145217,38.4
ENSG00000097021,ENSG00000165475,134.4
ENSG00000097021,ENSG00000060762,173.0
ENSG00000097021,ENSG00000111275,178.8
ENSG00000097021,ENSG00000112294,48.8
ENSG00000097021,ENSG00000138109,60.8
ENSG00000097021,ENSG00000100197,60.8
ENSG00000097021,ENSG00000077498,30.4
