name,gc_content,Gtex_kidney,gene_disease_ass_count,oncodb_expression,orth_count,gene_length,HPA_kidney,mf_coal,bp_coal,cc_coal,biogrid_coal,kegg_coal,reactome_coal,ucsc_tfbs_coal,up_tissue_coal,transcript_count
ENSG00000001036,40.77,1.67058,16,-0.160363998248487,343,106022,55.3,2.0,8.0,6.0,43.0,2.0,7.0,36.0,4.0,7
ENSG00000001461,47.96,9.97168,4,-5.48987858845716,340,19847,14.0,2.0,2.0,2.0,21.0,,2.0,25.0,5.0,14
ENSG00000001561,56.63,12.57025,2,0.708248558691557,335,112687,18.6,3.0,4.0,5.0,19.0,2.0,3.0,37.0,1.0,31
ENSG00000001630,54.63,0.02561115,0,0.0,341,32726,39.0,8.0,9.0,4.0,114.0,2.0,13.0,48.0,3.0,3
ENSG00000001631,60.19,8.95072,5,-1.32117770878766,340,26212,14.3,5.0,10.0,5.0,34.0,1.0,,70.0,4.0,4
ENSG00000002587,60.99,46.91265,0,-0.963372142252284,334,4992,1.6,2.0,1.0,2.0,41.0,1.0,5.0,73.0,3.0,10
ENSG00000002746,50.88,4.401225,1,1.6882382566407,253,91081,7.9,4.0,7.0,2.0,36.0,,4.0,126.0,1.0,20
ENSG00000003056,44.45,13.83065,0,-0.371546102898797,338,14716,79.9,4.0,6.0,13.0,58.0,3.0,8.0,70.0,4.0,3
ENSG00000003137,49.94,4.149175,19,1.24408234396651,329,24452,4.1,15.0,24.0,2.0,30.0,2.0,13.0,121.0,5.0,16
ENSG00000003393,52.73,120.63155,0,-0.212661243856718,331,2358,5.0,7.0,22.0,14.0,23.0,2.0,10.0,90.0,8.0,5
ENSG00000003402,57.65,4.831945,7,2.18024747110146,256,19178,54.2,9.0,38.0,6.0,65.0,7.0,15.0,67.0,13.0,7
ENSG00000003756,45.02,0.0948706,0,0.0,324,34433,30.7,6.0,12.0,3.0,120.0,,4.0,106.0,8.0,1
ENSG00000003987,48.02,25.8502,6,-0.114566346030888,263,26453,0.9,7.0,5.0,4.0,68.0,3.0,9.0,99.0,2.0,21
ENSG00000003989,38.41,9.250595,0,0.248659120108986,339,76345,7.9,8.0,7.0,4.0,98.0,,4.0,64.0,4.0,18
ENSG00000004399,44.11,14.31055,1,-1.33733560288211,325,55964,13.1,3.0,20.0,6.0,19.0,,14.0,113.0,6.0,11
ENSG00000004468,38.71,7.059875,9,-1.12333444560707,214,124306,0.7,7.0,27.0,8.0,11.0,7.0,4.0,31.0,6.0,7
ENSG00000004660,54.21,10.618585,3,0.0,323,54590,1.1,7.0,4.0,4.0,30.0,1.0,20.0,90.0,5.0,8
ENSG00000004809,46.05,0.7432025,8,-0.997918264682639,317,124090,0.0,4.0,10.0,3.0,36.0,,6.0,8.0,2.0,22
ENSG00000004897,52.21,10.40798,25,-0.148726056174865,336,11302,15.4,2.0,9.0,9.0,235.0,5.0,46.0,87.0,5.0,5
ENSG00000005001,55.28,15.79455,0,-0.19692397439185,82,4248,0.2,2.0,2.0,1.0,15.0,,,38.0,2.0,4
ENSG00000005007,46.39,0.7952255,3,0.175633239664452,295,24018,15.9,13.0,20.0,10.0,461.0,2.0,4.0,48.0,10.0,7
ENSG00000005059,46.96,28.8205,1,-0.306838822638257,262,92196,1.1,1.0,3.0,8.0,180.0,,3.0,43.0,1.0,9
ENSG00000005100,44.77,0.19946,0,0.0676387168753633,343,45334,4.4,13.0,6.0,6.0,57.0,1.0,,80.0,7.0,1
ENSG00000005108,43.41,21.19045,2,-0.487360365820623,302,17171,7.6,1.0,3.0,4.0,23.0,,9.0,148.0,1.0,6
ENSG00000005469,59.57,0.737833,25,0.616045728422296,329,33360,17.0,3.0,9.0,4.0,15.0,1.0,7.0,49.0,2.0,8
ENSG00000005486,37.69,3.10307,2,0.208690389869635,330,153539,34.8,3.0,2.0,6.0,108.0,,,36.0,3.0,13
ENSG00000005801,59.21,1.1205035,0,-0.462637974795317,24,10875,10.3,5.0,3.0,1.0,55.0,1.0,3.0,14.0,5.0,4
ENSG00000006047,40.87,4.152915,0,-0.598613426250101,173,15728,0.0,3.0,5.0,2.0,298.0,,,104.0,1.0,4
ENSG00000006210,34.38,9.41837,1,-0.339009616552933,197,61536,19.4,8.0,68.0,10.0,74.0,5.0,8.0,43.0,3.0,10
ENSG00000006432,59.73,33.05355,4,0.546655694391012,327,17005,1.4,10.0,6.0,1.0,9.0,,,92.0,4.0,23
ENSG00000006453,52.37,19.8171,0,-0.0829383519683193,265,11307,4.5,4.0,8.0,7.0,92.0,1.0,9.0,84.0,6.0,7
ENSG00000006468,52.09,6.103815,0,0.532216119837105,338,89147,3.2,10.0,10.0,2.0,26.0,1.0,,131.0,5.0,3
ENSG00000006576,50.16,27.4359,6,-0.294338607631814,258,12902,5.7,,,2.0,15.0,,,84.0,3.0,29
